gene id,name,3018_5139jL11HMBYSc6ab35_15_8_rem_of_zooids_StageA1to2,2372_5432b1_zooid_naive_stageAtoB,HISeq-Sample_944axbyd196-10,Hm9axByd196.6_4_219_2,2061_L11HMBY15xSC6ab_24_2_zooids,HISeq-Sample_bot_cDNA_15,2336_5139jL11HMBYSc6ab_15_9_vs_944axBYd196_6_4_101,2619_chimera_5432b_vs_5423b_zooid_StageA2,2626_chimera_5432b_vs_5423b_zooid_StageA2,2627_chimera_5432b_vs_5423b_zooid_StageA2,2662_HM9axBYd196_6_4_202_vs_944axBYd196_6_4_103,2390_chimera_L11HM9abld196_4_15_93_vs_944axbyd196_6_4_zooid_without_test,3562_5606b_vs_L11HMBY15xSC6ab_24_6
g42660.t1,g42660,80,79,19,25,46,165,51,146,26,47,93,212,99
g42661.t1,g42661,8,2,0,0,0,32,0,10,2,5,9,14,2
g42662.t1,GLRA3,0,0,0,2,0,0,0,2,0,0,0,0,0
g42663.t1,g42663,74,28,8,32,14,124,76,103,26,60,31,122,82
g42664.t1,g42664,6,0,0,14,2,16,0,0,4,0,4,16,20
g42665.t1,g42665,4,333,215,619,8,683,0,264,516,252,105,243,176
g42666.t1,g42666,14,2,0,0,0,6,6,2,8,4,0,4,2
g42667.t1,g42667,12,25,10,8,4,6,0,10,0,2,5,10,6
g42668.t1,ABCG4,2,4,0,2,0,0,2,4,0,9,0,6,2
g42669.t1,ABCG4,6,0,0,2,0,0,7,2,2,0,0,0,0
g4267.t1,Pir,12,29,6,6,2,14,0,9,6,16,3,20,11
g42670.t1,Pol,2,2,6,0,0,43,0,0,0,0,8,10,14
g42671.t1,g42671,40,28,0,21,4,2,4,15,4,6,12,21,12
g42672.t1,g42672,2,0,2,2,0,4,0,0,0,0,0,0,4
g42673.t1,g42673,50,61,14,28,12,66,20,65,11,50,37,78,53
g42674.t1,g42674,18,4,1,6,54,4,0,92,20,22,9,43,89
g42675.t1,g42675,14,0,11,2,18,32,0,13,6,29,5,23,40
g42676.t1,g42676,6,36,2,8,36,25,0,17,2,0,0,0,64
g42677.t1,g42677,10,6,0,2,2,2,2,12,0,2,2,4,5
g42678.t1,g42678,98,30,5,66,28,68,52,54,12,47,14,10,51
g42679.t1,g42679,24,54,10,4,6,40,4,50,16,13,17,73,72
g4268.t1,g4268,4,0,1,6,0,11,2,4,0,0,0,2,0
g42680.t1,ZNF226,33,4,13,16,4,85,6,14,10,14,21,82,10
g42681.t1,Zfp26,2,8,0,0,0,6,0,10,0,0,2,8,4
g42682.t1,g42682,4,2,0,0,0,0,2,0,2,0,4,4,5
g42683.t1,Cd63,79,88,37,16,0,101,12,60,22,21,20,59,39
g42684.t1,g42684,14,0,0,0,0,6,0,2,0,0,0,3,2
g42685.t1,g42685,34,8,2,8,2,71,4,38,2,38,13,19,20
g42686.t1,g42686,0,6,6,6,2,37,0,3,4,2,6,8,2
g42687.t1,g42687,4,0,5,4,2,24,2,4,0,6,6,2,8
g42688.t1,g42688,88,26,2,18,6,59,4,13,2,16,9,44,18
g42689.t1,g42689,18,34,2,6,8,18,0,8,0,4,4,18,11
g4269.t1,ZNF83,8,12,3,14,10,46,0,4,4,0,4,14,10
g42690.t1,g42690,92,12,2,8,8,28,4,8,4,7,4,18,4
g42691.t1,g42691,0,0,0,0,0,0,0,2,0,0,0,6,0
g42692.t1,g42692,8,0,0,0,0,9,0,0,0,0,0,0,2
g42693.t1,g42693,12,8,0,0,0,0,0,0,0,4,0,5,0
g42694.t1,g42694,6,8,0,6,6,53,0,0,4,0,2,38,6
g42695.t1,g42695,295,171,66,164,171,524,178,339,84,205,189,571,320
g42696.t1,g42696,8,0,0,0,0,2,0,0,4,0,0,12,2
g42697.t1,g42697,60,32,7,34,24,120,66,88,14,44,42,134,86
g42698.t1,Pus1,94,68,67,79,68,120,69,48,41,38,65,93,151
g42699.t1,g42699,12,9,0,0,2,2,0,0,4,0,4,4,6
g427.t1,g427,92,92,20,24,56,29,67,101,46,144,59,109,76
g4270.t1,g4270,24,24,2,6,8,46,22,21,6,15,25,28,21
g42700.t1,FANCI,6,8,13,16,27,48,0,24,10,10,24,54,18
g42701.t1,ATL3,6,0,22,4,3,28,0,0,0,8,4,9,7
g42702.t1,g42702,0,0,0,0,0,4,0,0,0,0,0,0,0
g42703.t1,g42703,20,8,3,10,2,16,0,12,2,11,10,17,16
g42704.t1,g42704,48,51,21,28,10,111,51,102,12,49,40,82,49
g42705.t1,g42705,48,39,4,39,28,48,48,79,24,32,31,54,55
g42706.t1,g42706,0,0,0,0,0,0,0,0,0,0,0,0,0
g42707.t1,g42707,10,6,0,8,0,18,0,16,6,10,4,27,14
g42708.t1,g42708,62,12,0,8,2,26,10,39,10,20,6,94,62
g42709.t1,g42709,10,4,0,2,0,11,5,5,0,8,2,10,5
g4271.t1,GFI1B,0,6,2,4,9,16,0,0,0,0,4,10,4
g42710.t1,g42710,2,16,1,19,19,36,0,4,2,2,2,2,2
g42711.t1,PRC1,54,98,41,123,295,479,8,90,64,56,76,133,185
g42712.t1,HELLS,36,4,15,56,175,110,6,16,6,20,32,22,40
g42713.t1,Ccdc22,50,64,53,44,131,136,22,92,34,46,63,54,106
g42714.t1,g42714,0,0,0,0,0,10,0,0,0,0,0,0,0
g42715.t1,MCTP1,89,80,31,48,32,76,30,204,76,134,75,120,118
g42715.t2,MCTP1,72,88,28,48,22,82,25,172,82,177,88,72,121
g42715.t3,MCTP1,81,90,45,52,17,103,15,154,64,143,68,110,118
g42716.t1,g42716,0,0,0,0,0,1,0,6,0,0,2,0,2
g42717.t1,g42717,6,22,2,0,2,59,0,16,4,7,4,23,4
g42718.t1,NDE1,62,22,8,8,28,24,2,48,40,37,29,69,104
g42719.t1,g42719,171,129,24,84,56,321,117,245,54,125,74,252,153
g4272.t1,ZNF845,0,0,2,4,2,4,0,6,2,4,2,8,2
g42720.t1,g42720,74,6,25,4,0,10,0,2,0,0,0,12,0
g42721.t1,g42721,66,22,2,47,50,75,11,168,37,110,38,96,142
g42722.t1,Ptges2,260,96,77,54,114,125,72,93,66,60,147,167,140
g42723.t1,KIF3B,198,46,95,16,53,376,86,153,60,75,26,178,85
g42724.t1,Pex5,62,56,40,52,22,502,24,77,18,57,27,70,69
g42725.t1,g42725,16,6,2,4,0,6,4,24,0,0,5,29,16
g42726.t1,198422458,331,136,76,10,0,51,111,269,76,103,207,376,541
g42727.t1,g42727,0,0,10,16,0,17,0,0,0,0,0,0,0
g42728.t1,g42728,84,24,0,14,19,32,20,149,36,16,10,35,76
