gene id,name,3018_5139jL11HMBYSc6ab35_15_8_rem_of_zooids_StageA1to2,2372_5432b1_zooid_naive_stageAtoB,HISeq-Sample_944axbyd196-10,Hm9axByd196.6_4_219_2,2061_L11HMBY15xSC6ab_24_2_zooids,HISeq-Sample_bot_cDNA_15,2336_5139jL11HMBYSc6ab_15_9_vs_944axBYd196_6_4_101,2619_chimera_5432b_vs_5423b_zooid_StageA2,2626_chimera_5432b_vs_5423b_zooid_StageA2,2627_chimera_5432b_vs_5423b_zooid_StageA2,2662_HM9axBYd196_6_4_202_vs_944axBYd196_6_4_103,2390_chimera_L11HM9abld196_4_15_93_vs_944axbyd196_6_4_zooid_without_test,3562_5606b_vs_L11HMBY15xSC6ab_24_6
g14386.t1,g14386,0,0,0,0,0,0,0,0,0,0,0,0,0
g14387.t1,g14387,0,0,0,0,0,0,0,4,0,0,0,0,0
g14388.t1,SLC34A2,18,24,6,6,0,40,0,2,4,12,7,14,0
g14389.t1,g14389,2,0,0,2,0,0,0,0,6,0,0,0,8
g1439.t1,MRC1,32,129,513,140,20,672,0,80,89,46,72,69,23
g14390.t1,g14390,0,2,0,0,0,2,0,2,0,0,0,0,0
g14391.t1,g14391,24,0,0,0,0,21,2,2,2,0,0,6,0
g14392.t1,g14392,6,0,0,2,6,1,3,5,0,2,6,16,8
g14393.t1,g14393,0,10,0,0,0,16,0,20,0,4,2,4,0
g14394.t1,SREBF1,1036,779,314,571,325,1266,301,1204,535,1125,583,773,504
g14395.t1,Toe1,10,20,4,12,6,42,6,34,6,6,32,20,26
g14396.t1,Stx18,26,16,16,14,46,54,0,26,17,42,24,24,32
g14397.t1,198424714,36,24,9,13,26,36,23,16,18,30,14,25,40
g14398.t1,Map1lc3b,41,10,6,8,0,10,26,21,16,32,8,16,24
g14399.t1,Map1lc3a,372,34,54,8,11,134,177,100,26,73,92,61,100
g144.t1,g144,12,0,19,14,0,32,4,7,0,0,8,10,20
g1440.t1,g1440,2,0,0,0,2,5,0,0,2,0,0,0,0
g14400.t1,g14400,0,0,0,0,0,0,0,0,0,0,0,0,0
g14401.t1,g14401,24,0,0,6,0,8,4,10,4,7,2,23,26
g14402.t1,g14402,21,10,10,10,12,69,10,115,24,46,8,46,41
g14403.t1,g14403,54,19,10,8,8,20,34,107,24,36,40,130,123
g14404.t1,g14404,32,0,2,0,2,7,12,4,2,0,0,2,4
g14405.t1,g14405,14,0,0,4,0,2,4,2,2,6,2,2,0
g14406.t1,g14406,24,0,0,2,0,10,6,2,2,0,0,6,0
g14407.t1,g14407,90,57,23,39,18,138,19,137,36,85,50,116,54
g14408.t1,Anapc1,4,0,0,0,2,0,0,6,4,0,0,1,2
g14409.t1,g14409,4,4,11,8,0,6,2,6,6,0,2,2,12
g1441.t1,g1441,127,4,0,22,2,11,18,26,4,0,4,41,44
g14410.t1,g14410,196,24,8,44,0,35,36,107,62,43,19,85,126
g14411.t1,g14411,0,0,0,0,0,2,0,0,4,0,4,0,0
g14412.t1,Ttn,0,0,0,4,0,8,0,2,4,0,0,0,0
g14413.t1,g14413,489,412,103,130,7,362,242,405,60,324,154,515,478
g14414.t1,g14414,2303,1371,288,290,32,722,925,1981,576,1733,672,2211,1805
g14415.t1,g14415,0,0,0,0,0,0,0,0,0,0,0,0,0
g14416.t1,BIRC3,6,0,0,0,0,9,0,4,0,2,0,0,11
g14417.t1,Slit3,10,41,2,2,10,2,4,78,38,72,2,8,8
g14418.t1,SPCS3,130,62,20,44,63,51,31,108,30,59,120,214,281
g14419.t1,g14419,4,6,0,5,0,8,4,2,0,0,2,2,2
g1442.t1,Dlx1,0,0,0,0,0,8,0,0,2,2,0,0,0
g14420.t1,Slc5a8,4,6,15,4,0,93,4,25,28,20,18,28,18
g14421.t1,METTL2A,0,2,2,8,10,22,0,4,2,4,8,2,4
g14422.t1,ACAD9,26,14,8,13,79,43,15,21,16,6,23,50,19
g14423.t1,g14423,2,0,0,2,36,7,0,4,0,2,2,4,1
g14424.t1,COL22A1,62,12,14,22,14,24,20,162,94,89,39,235,307
g14425.t1,g14425,2,2,1,4,0,2,3,24,0,5,0,22,0
g14426.t1,g14426,4,2,0,8,0,5,0,15,8,10,2,27,2
g14427.t1,g14427,6,22,6,15,2,41,9,25,4,9,22,37,45
g14428.t1,ZSCAN2,4,4,0,0,0,6,0,20,2,12,0,4,0
g14429.t1,g14429,56,169,64,50,42,128,51,296,46,123,153,228,121
g1443.t1,g1443,4,2,10,8,8,45,2,18,0,0,0,6,10
g14430.t1,CCDC33,306,102,123,91,63,300,84,461,100,246,118,319,312
g14431.t1,Eif2b4,62,52,20,46,75,99,64,68,44,108,79,108,95
g14432.t1,Mettl15,26,32,16,12,4,68,44,60,10,16,22,60,31
g14432.t2,Mettl15,15,8,2,4,0,20,0,10,4,4,2,18,6
g14432.t3,Mettl15,18,14,6,10,16,56,8,28,8,4,4,32,11
g14433.t1,Notch2,56,4,42,26,40,34,0,79,16,22,22,18,10
g14434.t1,g14434,125,46,0,3,7,57,14,21,14,5,6,133,6
g14435.t1,g14435,36,14,63,54,48,76,8,108,28,48,74,30,69
g14436.t1,DDX46,148,102,85,101,240,145,26,172,54,100,100,139,264
g14437.t1,g14437,10,2,1,2,4,84,4,28,12,14,2,86,59
g14438.t1,HHIPL1,14,3,17,14,2,35,4,5,3,10,9,42,34
g14439.t1,Uxs1,10,2,6,0,0,0,8,22,10,10,2,12,18
g1444.t1,g1444,4,0,0,4,10,32,0,0,0,0,0,2,2
g14440.t1,g14440,6,6,0,0,0,8,0,4,2,8,0,6,0
g14441.t1,g14441,50,51,23,20,27,75,57,76,20,52,55,111,98
g14442.t1,g14442,8,0,4,0,0,15,16,4,2,6,6,32,16
g14443.t1,g14443,8,0,0,0,0,4,6,2,2,0,0,6,4
g14444.t1,Depdc7,52,4,0,22,107,20,16,17,0,12,8,20,28
g14445.t1,g14445,0,0,0,0,0,3,0,0,2,0,0,0,0
g14446.t1,g14446,4,0,0,0,0,6,0,4,0,2,0,2,0
g14447.t1,g14447,390,11,52,84,18,252,79,22,8,6,47,177,40
g14448.t1,g14448,2,0,2,12,0,6,0,0,0,0,0,2,2
g14449.t1,g14449,14,0,3,0,0,13,2,2,1,14,0,1,6
g1445.t1,Pik3ca,150,34,39,98,20,55,28,60,44,39,33,158,98
g14450.t1,g14450,0,0,13,0,1,20,0,16,6,27,1,0,16
g14451.t1,Scin,0,0,2,0,0,14,0,17,10,13,0,2,0
g14452.t1,Efha2,38,17,4,12,10,10,0,36,6,24,20,32,44
g14453.t1,g14453,34,0,0,0,6,2,18,8,4,3,0,2,0
g14454.t1,g14454,8,0,0,0,14,4,0,18,0,4,0,10,8
g14455.t1,g14455,2,52,0,0,2,2,0,12,6,18,2,5,5
g14456.t1,g14456,26,28,0,4,10,10,10,48,18,10,28,47,68
g14457.t1,g14457,178,26,26,161,0,131,26,92,78,153,124,72,108
g14458.t1,Taf5,48,4,15,12,46,45,20,39,20,17,12,65,85
g14459.t1,g14459,168,234,60,108,49,430,128,475,89,236,219,431,301
g1446.t1,g1446,12,14,14,32,2,6,4,3,10,0,8,23,7
g14460.t1,g14460,8,28,1,22,10,33,12,50,5,30,29,73,40
g14461.t1,g14461,2,8,2,4,2,22,3,15,14,7,0,6,6
g14462.t1,g14462,8,4,0,0,0,7,4,3,0,0,0,4,3
g14463.t1,g14463,14,0,0,0,2,4,0,7,0,0,1,0,0
g14464.t1,g14464,0,0,0,0,0,0,0,0,0,0,0,0,0
g14465.t1,g14465,5,0,0,2,0,0,0,0,4,6,0,9,2
g14466.t1,g14466,54,0,8,0,0,35,8,18,2,32,22,16,12
g14467.t1,g14467,10,0,0,0,0,260,18,0,6,0,0,2,11
g14468.t1,g14468,38,0,0,0,2,2,0,4,8,2,0,16,4
g14469.t1,g14469,8,0,0,3,0,2,0,0,0,0,0,2,0
g1447.t1,g1447,0,0,0,0,0,2,2,2,0,10,0,4,0
g14470.t1,g14470,6,0,20,2,0,0,0,0,0,2,6,4,0
g14471.t1,g14471,54,24,5,18,2,27,27,205,53,87,33,55,53
g14472.t1,g14472,37,26,4,14,6,52,15,19,9,8,11,19,19
g14473.t1,g14473,8,0,0,0,0,0,0,0,0,0,0,0,8
g14474.t1,g14474,4,8,3,15,6,42,0,13,3,5,6,65,30
g14475.t1,SEC63,188,33,161,135,114,453,18,50,42,20,86,98,169
g14476.t1,g14476,10,4,4,4,0,2,0,10,0,2,2,2,1
g14477.t1,FBXL15,69,40,6,36,26,35,16,14,18,51,19,101,41
g14478.t1,g14478,20,2,1,2,0,10,2,5,11,4,0,2,4
g14479.t1,g14479,4,4,0,0,0,0,0,6,0,2,0,0,8
g1448.t1,g1448,14,0,7,4,2,2,4,38,2,2,10,15,38
g14480.t1,g14480,100,0,4,3,16,21,5,8,18,2,14,30,11
g14481.t1,g14481,24,20,0,6,7,13,8,19,8,5,2,32,19
g14482.t1,C14orf166B,2,18,19,0,4,93,2,4,14,0,0,4,3
g14483.t1,g14483,8,2,0,0,0,6,0,0,2,1,5,12,4
g14484.t1,MKI67IP,18,6,9,41,120,33,0,6,10,8,24,22,15
g14485.t1,g14485,22,24,16,28,17,224,45,68,8,34,33,43,40
g14486.t1,g14486,94,4,6,4,0,42,48,168,22,72,140,185,88
g14487.t1,g14487,42,63,10,6,6,54,2,100,20,16,6,6,31
g14488.t1,g14488,18,14,0,2,6,13,2,40,14,12,12,18,28
g14489.t1,g14489,0,0,0,0,0,38,0,0,0,0,0,10,0
g1449.t1,g1449,20,36,73,12,4,139,18,44,4,21,19,54,42
g14490.t1,g14490,17,10,0,8,2,4,0,8,4,2,2,21,12
g14491.t1,g14491,18,4,0,12,18,50,16,18,2,21,8,8,16
g14492.t1,g14492,2,0,0,0,0,2,0,0,2,0,0,8,8
g14493.t1,g14493,6,2,2,2,22,130,4,9,10,8,3,18,14
g14494.t1,g14494,0,4,0,0,3,4,0,0,0,2,0,2,2
g14495.t1,g14495,0,5,8,33,0,12,0,2,4,0,0,2,0
g14496.t1,g14496,4,0,0,0,4,14,0,0,6,0,2,16,6
g14497.t1,g14497,0,0,0,0,2,10,0,7,0,0,0,8,0
g14498.t1,g14498,32,1,8,6,12,89,4,20,4,2,8,16,20
g14499.t1,g14499,6,4,12,16,6,167,25,47,4,27,28,30,14
g145.t1,g145,0,0,0,0,0,2,2,8,6,8,5,22,3
g1450.t1,g1450,0,0,0,0,2,12,2,0,0,0,0,0,0
g14500.t1,Ppp6r2,50,12,21,41,24,125,26,30,18,39,26,34,28
g14501.t1,g14501,4,2,4,0,0,8,0,2,0,4,0,6,2
g14502.t1,TNS1,51,14,2,1,10,4,15,193,102,66,11,90,83
g14503.t1,g14503,54,2,4,39,10,37,29,75,34,20,21,254,18
g14504.t1,g14504,4,0,0,0,3,0,0,0,0,0,0,0,0
g14505.t1,g14505,12,8,0,0,0,4,0,2,4,0,0,0,4
g14506.t1,g14506,79,13,2,21,14,2,17,118,58,43,12,95,96
g14507.t1,Cyp3a41a,4,0,15,10,4,17,0,7,0,8,0,2,4
g14508.t1,g14508,13,14,2,16,10,14,0,11,8,6,0,30,27
g14509.t1,g14509,30,21,2,22,0,22,20,10,20,26,0,36,16
g1451.t1,g1451,2,0,0,4,2,2,6,15,4,0,2,20,24
g14510.t1,HMCN1,276,116,118,197,25,311,38,308,127,198,148,347,234
g14510.t2,HMCN1,302,159,171,218,31,372,22,358,95,209,169,297,285
g14511.t1,Atp10a,410,98,98,69,30,132,195,539,225,244,106,266,238
g14512.t1,g14512,10,8,2,28,14,19,0,21,6,2,8,8,12
g14513.t1,g14513,4,0,1,2,0,2,0,0,0,0,2,2,0
g14514.t1,g14514,14,0,2,0,0,22,10,12,8,6,0,2,10
g14515.t1,g14515,2,4,0,2,9,3,0,9,0,8,0,2,2
g14516.t1,g14516,1,0,0,0,0,10,0,2,0,2,2,0,2
g14517.t1,g14517,8,4,2,2,0,36,0,18,2,5,6,26,12
g14518.t1,g14518,0,4,0,4,0,4,0,20,8,22,4,4,5
g14519.t1,g14519,64,18,10,7,6,50,9,28,6,14,27,40,32
g1452.t1,Cpt1a,203,89,25,58,48,49,138,274,96,70,119,357,373
g1452.t2,Cpt1a,222,50,29,62,53,74,85,202,93,63,131,381,279
g14520.t1,g14520,16,24,7,24,4,36,17,64,10,28,69,96,74
g14521.t1,Fam98a,0,2,0,2,33,5,0,6,2,6,6,2,2
g14522.t1,g14522,23,4,2,20,18,16,20,32,6,23,31,48,34
g14523.t1,g14523,44,30,28,22,50,22,8,51,22,16,22,48,50
g14524.t1,Cul5,14,8,0,0,0,0,0,28,12,37,0,2,0
g14525.t1,Ttn,595,8,22,24,0,184,19,187,65,124,63,87,49
g14526.t1,g14526,4,8,1,122,0,52,2,8,2,4,2,17,4
g14527.t1,g14527,2,0,0,0,0,0,0,0,0,0,0,0,0
g14528.t1,g14528,98,108,2,22,93,12,10,87,107,21,4,40,57
g14529.t1,g14529,157,157,75,193,405,402,30,218,64,91,236,259,222
g1453.t1,g1453,18,4,0,0,4,2,1,10,10,2,0,8,7
g14530.t1,UBE2J2,104,92,30,36,16,18,46,136,30,32,54,21,38
g14531.t1,WFIKKN1,62,103,24,58,0,173,8,129,68,79,6,107,40
g14532.t1,g14532,0,0,36,6,4,10,0,0,0,4,6,0,0
g14533.t1,g14533,445,87,6,98,82,75,62,112,66,58,76,140,79
g14534.t1,g14534,12,6,0,10,4,30,16,8,2,12,4,20,2
g14535.t1,Mcm8,2,12,3,6,4,6,2,8,0,2,12,16,21
g14536.t1,FGD1,254,119,15,58,36,117,106,235,91,121,81,373,289
g14537.t1,g14537,0,0,0,0,0,2,0,0,0,0,0,0,0
g14538.t1,g14538,0,0,0,0,0,2,0,2,2,2,2,0,0
g14539.t1,g14539,16,0,0,0,0,6,1,8,14,4,4,36,10
g1454.t1,g1454,26,34,13,0,0,36,39,64,8,28,10,52,37
g14540.t1,g14540,58,40,31,83,26,204,61,130,18,56,119,219,120
g14541.t1,g14541,21,2,0,0,0,34,4,12,0,4,0,14,8
g14542.t1,g14542,43,20,4,19,10,32,17,7,8,4,8,45,18
g14543.t1,g14543,30,8,5,30,0,4,7,150,62,112,32,97,53
g14544.t1,g14544,4,0,0,0,0,6,0,0,0,0,0,0,0
g14545.t1,CCDC13,76,126,54,12,22,89,52,94,32,58,45,74,68
g14546.t1,ADAMTSL3,56,38,2,8,2,4,12,16,40,27,12,14,30
g14547.t1,g14547,12,36,2,6,6,36,0,37,8,16,10,37,23
g14548.t1,g14548,6,4,2,0,0,6,0,9,6,2,0,14,2
g14549.t1,g14549,286,218,69,196,128,763,280,505,106,316,354,706,515
g1455.t1,g1455,16,2,6,6,4,40,4,4,11,8,40,12,46
g14550.t1,TPMT,71,32,25,34,33,53,40,36,18,32,30,20,42
g14551.t1,Tpmt,2,14,9,6,14,2,6,14,4,4,4,8,16
g14552.t1,Tpmt,14,6,10,34,22,12,10,73,6,58,30,33,26
g14553.t1,g14553,0,2,0,0,0,0,0,0,2,0,0,0,2
g14554.t1,g14554,30,2,10,34,28,10,51,125,32,20,30,77,87
g14555.t1,g14555,58,40,5,12,5,34,22,54,4,22,18,73,24
g14556.t1,g14556,10,2,4,8,0,0,4,2,0,4,21,12,8
g14557.t1,g14557,30,24,0,0,0,10,13,33,25,12,9,36,60
g14558.t1,g14558,19,0,4,5,4,30,22,6,0,0,3,20,8
g14559.t1,g14559,59,6,4,12,22,22,22,66,16,34,30,51,56
g1456.t1,g1456,284,339,97,42,0,128,107,170,50,205,85,191,292
g14560.t1,g14560,4,4,2,2,6,27,2,10,0,0,0,5,4
g14561.t1,g14561,40,30,2,10,16,58,8,23,14,2,10,12,14
g14562.t1,g14562,12,50,0,18,94,6,1,16,4,2,14,13,18
g14563.t1,TOPBP1,20,20,5,18,62,136,2,42,4,12,18,30,26
g14564.t1,g14564,6,0,0,0,0,8,0,8,5,0,0,0,0
g14565.t1,PTPRH,0,6,116,32,11,287,6,13,4,2,3,6,6
g14566.t1,g14566,0,0,0,0,0,4,0,0,0,0,0,0,0
g14567.t1,g14567,0,4,0,2,2,0,0,2,0,0,0,0,0
g14568.t1,g14568,0,0,0,0,0,0,0,6,0,4,0,0,0
g14569.t1,198428180,42,16,31,48,0,208,2,30,34,36,20,8,60
g1457.t1,g1457,20,8,0,4,0,8,13,34,6,33,0,19,16
g14570.t1,198426845,6,22,6,4,26,22,2,2,4,8,2,0,10
g14571.t1,g14571,44,23,17,28,12,84,21,48,10,12,20,67,73
g14572.t1,DENND4A,108,28,2,28,67,8,14,27,40,30,14,140,70
g14573.t1,g14573,30,16,0,8,2,135,0,36,4,6,6,32,24
g14574.t1,g14574,2,10,0,0,0,6,0,8,0,0,2,0,0
g14575.t1,g14575,10,2,1,2,6,4,2,4,8,2,4,0,6
g14576.t1,g14576,0,4,0,0,0,0,0,0,2,2,0,2,2
g14577.t1,g14577,96,54,20,51,6,56,28,27,32,16,9,32,21
g14578.t1,PHEX,62,11,21,77,2,60,16,23,6,49,24,69,97
g14579.t1,g14579,0,36,0,0,0,6,0,4,10,47,0,0,0
g1458.t1,Fdps,20,27,127,44,34,140,25,143,4,35,68,165,163
g14580.t1,260826578,546,335,24,51,2,230,18,317,186,203,91,719,402
g14581.t1,g14581,10,6,0,0,4,10,0,2,0,3,0,2,2
g14582.t1,g14582,2,6,0,0,2,0,2,2,0,2,0,6,2
g14583.t1,g14583,2,2,0,0,2,1,0,10,0,3,2,2,0
g14584.t1,g14584,42,8,10,10,22,35,18,51,6,28,3,33,32
g14585.t1,198417107,52,83,9,12,8,23,4,87,38,78,6,39,23
g14586.t1,g14586,26,2,9,12,24,14,0,12,6,10,26,55,23
g14587.t1,g14587,0,0,0,0,0,0,0,0,0,0,0,0,0
g14588.t1,g14588,8,4,2,4,0,6,0,12,4,12,4,7,6
g14589.t1,g14589,1519,1096,90,12,10,182,375,882,445,1087,524,977,784
g1459.t1,g1459,8,35,22,14,10,56,1,37,2,10,25,33,34
g14590.t1,g14590,4,0,0,2,0,4,0,0,2,0,0,0,0
g14591.t1,g14591,18,0,0,4,0,16,4,15,2,1,0,0,4
g14592.t1,g14592,47,6,0,6,10,40,2,8,6,6,4,10,25
g14593.t1,Atp6v1b2,62,153,49,84,38,48,0,153,74,70,65,101,79
g14594.t1,g14594,0,2,0,0,0,4,0,0,0,0,0,0,1
g14595.t1,g14595,6,4,2,0,0,11,0,0,2,0,0,0,0
g14596.t1,g14596,20,14,3,13,24,19,21,28,6,18,30,41,33
g14597.t1,g14597,64,42,8,9,4,176,2,59,10,17,7,130,24
g14598.t1,g14598,12,70,18,26,71,78,36,42,18,10,58,86,120
g14599.t1,g14599,0,0,0,0,0,7,0,0,2,4,4,4,2
g146.t1,g146,2,0,0,0,0,2,0,2,0,2,0,2,2
g1460.t1,g1460,77,147,49,82,65,292,82,287,31,132,128,283,142
g14600.t1,g14600,80,22,37,45,25,338,53,72,12,78,60,62,60
g14601.t1,g14601,8,0,0,0,0,12,0,4,0,0,0,0,0
g14602.t1,g14602,20,13,1,4,10,95,7,10,10,4,10,18,16
g14603.t1,g14603,218,46,38,30,14,2730,0,196,16,4,45,16,14
g14604.t1,g14604,6,0,0,0,0,4,0,0,0,0,0,0,4
g14605.t1,g14605,12,34,0,2,2,20,2,9,0,4,4,5,4
g14606.t1,g14606,2,0,0,4,0,4,0,2,4,2,2,26,2
g14607.t1,g14607,2,2,4,4,6,22,0,14,10,14,6,6,8
g14608.t1,g14608,6,0,0,0,2,4,2,1,2,6,0,2,8
g14609.t1,FCN2,103,16,63,31,1,218,26,59,34,55,53,106,112
g1461.t1,g1461,2,0,0,0,0,0,0,0,2,0,0,0,0
g14610.t1,Itga3,214,94,359,53,48,501,62,439,163,221,118,345,407
g14611.t1,Itga7,253,168,63,56,42,244,63,332,128,152,199,437,420
g14612.t1,g14612,286,198,213,250,204,473,169,344,151,199,246,388,361
g14613.t1,198434589,370,175,311,22,20,531,123,388,150,206,305,378,406
g14614.t1,g14614,64,12,2,6,10,148,30,43,22,25,12,56,47
g14615.t1,CHMP1A,527,142,118,160,168,297,244,445,122,246,315,333,252
g14616.t1,DET1,116,104,64,71,100,148,44,220,76,97,107,120,126
g14617.t1,ZNF778,6,4,10,10,12,151,0,13,12,2,13,27,10
g14618.t1,g14618,2,0,0,0,0,2,0,0,3,0,0,0,4
g14619.t1,g14619,30,10,0,10,2,23,4,8,14,8,11,38,12
g1462.t1,g1462,0,0,0,0,0,0,0,0,0,0,0,0,0
g14620.t1,g14620,56,14,30,61,0,9,28,175,38,42,20,36,68
g14621.t1,g14621,8,0,1,6,0,14,0,0,0,0,1,7,1
g14622.t1,Klhl24,10,0,14,2,6,26,6,2,0,0,17,12,12
g14623.t1,g14623,48,114,20,38,33,26,43,183,50,192,53,164,174
g14624.t1,g14624,2,2,0,0,0,16,14,17,0,10,1,12,10
g14625.t1,g14625,335,123,34,114,83,465,84,186,59,102,116,346,185
g14626.t1,Snrpd3,70,52,32,64,349,59,14,61,22,72,60,47,79
g14627.t1,FECH,110,58,40,148,154,166,34,80,71,85,106,159,140
g14628.t1,g14628,18,10,2,6,10,28,3,27,4,11,0,17,5
g14629.t1,Cpa4,2,0,48,28,0,94,0,0,0,2,0,0,0
g1463.t1,g1463,10,2,47,20,0,100,0,0,0,3,2,2,0
g14630.t1,Gnas,20,78,18,20,32,83,26,59,14,38,17,61,55
g14631.t1,DDHD1,204,82,131,203,259,1099,58,186,88,168,304,250,324
g14632.t1,Dnajb9,6,2,6,12,20,16,2,10,4,2,13,10,10
g14633.t1,g14633,76,2,5,12,10,35,15,14,2,8,7,39,27
g14634.t1,g14634,0,0,0,0,0,0,0,0,0,0,2,0,0
g14635.t1,g14635,18,14,2,7,12,23,8,33,4,10,8,39,69
g14636.t1,g14636,106,16,53,28,74,99,46,52,30,34,38,197,156
g14637.t1,g14637,10,0,1,8,2,18,0,5,4,0,5,11,2
g14638.t1,g14638,99,28,2,17,4,70,17,39,18,25,15,75,26
g14639.t1,g14639,118,69,18,30,26,135,24,96,15,43,52,146,86
g1464.t1,g1464,485,37,406,131,2,156,19,18,10,6,0,5,9
g14640.t1,g14640,66,43,12,33,19,83,20,82,14,30,40,168,82
g14641.t1,g14641,6,0,0,0,10,4,4,6,4,6,8,6,14
g14642.t1,g14642,253,18,4,4,6,368,14,28,18,11,4,57,13
g14643.t1,g14643,40,19,13,18,32,78,15,57,15,25,15,83,26
g14644.t1,g14644,14,0,0,0,0,12,0,2,6,0,2,6,2
g14645.t1,g14645,0,8,65,38,58,299,0,36,18,20,81,54,54
g14646.t1,g14646,158,54,3,44,100,14,13,60,34,40,17,75,63
g14647.t1,g14647,26,2,0,0,4,2,0,48,2,8,2,6,44
g14648.t1,PHKA1,78,46,21,32,114,135,28,159,63,65,53,177,134
g14649.t1,g14649,20,0,6,22,2,34,18,16,2,24,26,80,18
g1465.t1,155382579,757,35,447,180,6,150,68,12,14,22,2,4,17
g14650.t1,SVEP1,14,4,6,6,2,40,0,17,0,29,2,6,4
g14651.t1,g14651,104,42,0,10,39,2,31,65,24,34,35,151,219
g14652.t1,g14652,3,0,0,0,0,5,2,1,0,4,0,2,6
g14653.t1,Dhfr,4,24,48,0,0,56,2,16,8,0,0,4,16
g14654.t1,g14654,10,8,7,12,7,48,8,20,8,9,6,19,21
g14655.t1,g14655,8,12,0,4,22,36,4,4,14,10,8,4,42
g14656.t1,g14656,2,0,0,6,0,0,0,0,0,0,0,0,0
g14657.t1,g14657,2,4,0,2,1,0,2,4,2,2,3,4,0
g14658.t1,g14658,4,22,2,4,0,16,0,20,6,8,0,10,2
g14659.t1,g14659,12,8,5,2,0,38,2,24,6,6,2,11,2
g1466.t1,g1466,2,22,0,4,0,73,0,8,4,0,0,5,2
g14660.t1,g14660,4,4,2,0,4,17,2,2,2,2,0,14,10
g14661.t1,g14661,20,24,1,14,0,245,2,38,4,2,4,87,2
g14662.t1,g14662,0,2,0,0,0,2,0,0,0,0,0,0,0
g14663.t1,AGPHD1,22,0,0,10,20,26,19,2,2,0,0,10,12
g14664.t1,g14664,0,2,0,0,0,4,0,4,2,0,0,0,0
g14665.t1,g14665,0,0,0,0,0,6,0,0,0,0,0,0,0
g14666.t1,MELK,230,52,66,73,261,115,45,55,72,49,125,268,138
g14667.t1,g14667,6,14,77,17,0,97,4,2,6,2,0,8,12
g14668.t1,g14668,24,0,18,12,4,24,8,11,14,6,8,64,116
g14669.t1,COPA,6,0,2,14,0,14,0,4,10,2,14,6,15
g1467.t1,Kiaa0100,260,58,12,26,23,75,59,159,90,127,14,73,24
g14670.t1,Arl2bp,6,8,0,4,10,2,0,4,8,6,4,6,2
g14671.t1,ABHD14B,6,0,8,0,14,2,2,14,4,5,14,10,8
g14672.t1,g14672,62,12,10,14,4,21,14,22,18,23,27,81,32
g14673.t1,ATP5A1,1355,1086,122,342,925,124,299,1505,643,870,501,1108,1354
g14674.t1,PUS7,38,26,0,8,28,18,8,76,24,28,7,18,18
g14675.t1,WARS,63,20,21,32,19,82,38,31,12,61,26,199,117
g14676.t1,g14676,18,26,4,6,8,49,0,11,4,12,8,37,24
g14677.t1,g14677,0,0,0,0,0,0,0,0,0,0,0,0,0
g14678.t1,g14678,12,4,0,8,0,4,0,0,0,0,0,18,2
g14679.t1,g14679,0,0,0,0,0,0,0,0,0,0,0,0,0
g1468.t1,g1468,54,0,0,21,17,9,2,99,32,66,7,40,40
g14680.t1,DIEXF,58,2,68,38,182,216,6,64,10,2,98,34,98
g14681.t1,Wbscr22,8,6,6,14,36,4,0,26,0,2,22,4,16
g14682.t1,ZNF347,8,10,6,0,0,10,0,4,0,0,2,4,4
g14683.t1,g14683,0,0,0,0,0,2,0,0,0,0,0,0,0
g14684.t1,g14684,2597,2395,63,435,38,1466,686,3527,1721,2367,799,3440,2332
g14685.t1,g14685,4,26,2,2,20,8,2,33,8,2,0,0,22
g14686.t1,FUT5,9,6,2,2,2,0,2,20,0,0,8,26,10
g14687.t1,g14687,0,0,0,0,4,2,0,0,0,0,2,10,12
g14688.t1,PGBD4,0,0,0,0,0,4,0,0,0,6,0,0,0
g14689.t1,g14689,48,35,13,16,17,132,12,38,14,10,11,40,10
g1469.t1,g1469,2,0,0,0,0,2,0,0,0,2,0,0,0
g14690.t1,g14690,0,0,0,0,0,0,0,4,0,0,0,0,4
g14691.t1,g14691,2,0,0,0,0,2,0,2,0,0,0,3,1
g14692.t1,g14692,6,4,6,4,0,0,0,8,0,12,0,10,4
g14693.t1,g14693,6,32,10,10,36,54,2,56,28,27,4,24,16
g14694.t1,g14694,6,22,6,10,0,6,0,20,2,19,12,2,6
g14695.t1,g14695,8,2,2,0,0,32,0,13,0,0,6,20,6
g14696.t1,g14696,299,127,28,100,57,469,67,129,30,53,75,192,74
g14697.t1,g14697,0,0,0,0,0,0,0,0,0,0,0,0,0
g14698.t1,g14698,69,22,3,28,8,53,33,55,18,66,40,102,70
g14699.t1,SLC35E3,24,12,6,6,12,24,0,2,4,18,71,28,12
g147.t1,g147,0,0,0,0,4,2,0,0,0,0,0,0,0
g1470.t1,g1470,0,0,4,4,3,20,2,21,2,6,4,48,35
g14700.t1,g14700,6,4,0,6,0,17,0,3,6,2,0,4,8
g14701.t1,g14701,14,26,12,17,4,100,10,51,6,18,26,72,66
g14702.t1,SYNE1,1257,297,58,118,22,222,313,678,294,486,170,1005,838
g14703.t1,g14703,8,4,0,0,4,20,0,6,0,0,0,0,2
g14704.t1,ZNF729,0,0,0,0,0,0,0,0,2,0,0,0,0
g14705.t1,ZNF726,6,0,0,2,6,24,0,4,0,0,0,6,12
g14706.t1,g14706,10,12,0,5,6,39,2,3,4,4,0,12,5
g14707.t1,g14707,2,0,0,0,0,8,0,0,2,0,0,0,0
